"
北京市
","
1055.67
","
1016.23
","
1016.27
"
"
天津市
","
613.46
","
549.39
","
452.12
"
"
河北省
","
3940.58
","
3686.38
","
3481.04
"
"
山西省
","
2231.25
","
2013.29
","
1962.46
"
"
内蒙古自治区
","
2758.67
","
2632.32
","
2465.80
"
"
辽宁省
","
2913.98
","
2682.01
","
2595.51
"
"
  辽宁省（不含大连市）
","
2695.68
","
2480.72
","
2399.87
"
"
  大连市
","
218.31
","
201.29
","
195.64
"
"
吉林省
","
2461.44
","
2367.38
","
2145.17
"
"
黑龙江省
","
3874.01
","
3502.08
","
3012.88
"
"
上海市
","
829.89
","
771.62
","
709.21
"
"
江苏省
","
1808.68
","
1639.88
","
1573.35
"
"
浙江省
","
873.77
","
770.10
","
823.37
"
"
  浙江省（不含宁波市）
","
788.53
","
692.64
","
720.14
"
"
  宁波市
","
85.24
","
77.46
","
103.23
"
"
安徽省
","
3639.07
","
3385.33
","
3141.90
"
"
福建省
","
1476.32
","
1364.71
","
1342.97
"
"
  福建省（不含厦门市）
","
1369.11
","
1260.20
","
1215.68
"
"
  厦门市
","
107.21
","
104.51
","
127.29
"
"
江西省
","
2966.88
","
2807.16
","
2585.12
"
"
山东省
","
3030.41
","
2780.90
","
2664.11
"
"
  山东省（不含青岛市）
","
2841.03
","
2600.41
","
2473.47
"
"
  青岛市
","
189.39
","
180.50
","
190.64
"
"
河南省
","
5067.31
","
4732.51
","
4381.33
"
"
湖北省
","
4784.46
","
3677.86
","
3363.99
"
"
湖南省
","
4111.18
","
3866.84
","
3562.03
"
"
广东省
","
1684.53
","
1445.75
","
1264.28
"
"
  广东省（不含深圳市）
","
1459.86
","
1229.45
","
1043.04
"
"
  深圳市
","
224.67
","
216.30
","
221.25
"
"
广西壮族自治区
","
3381.92
","
3251.69
","
3038.19
"
"
海南省
","
1019.69
","
958.35
","
1085.09
"
"
重庆市
","
2081.16
","
1934.87
","
1815.49
"
"
四川省
","
5707.59
","
5372.46
","
4933.00
"
"
贵州省
","
3166.16
","
2985.25
","
2824.74
"
"
云南省
","
4167.62
","
3942.00
","
3373.31
"
"
西藏自治区
","
1977.94
","
1948.12
","
1724.84
"
"
陕西省
","
2871.30
","
2715.23
","
2543.82
"
"
甘肃省
","
2938.51
","
2817.44
","
2533.46
"
"
青海省
","
1442.28
","
1409.16
","
1349.18
"
"
宁夏回族自治区
","
970.90
","
931.85
","
887.71
"
"
新疆维吾尔自治区
","
3468.66
","
3365.00
","
3089.42
"
"
未落实到地区数
","
　
","
　
","
11628.84
"
"
　
","
　
","
　
","
　
"
"
      合         计
","
83315.30
","
77323.15
","
83370.00
"
